font_name,accuracy,font_size,vox_atypl,underlined,bold
Bembo-Bold-Font,95.64%,26,garaldes,True,False
Bembo-Bold-Font,95.95%,28,garaldes,True,False
Bembo-Bold-Font,96.26%,30,garaldes,True,False
Bembo-Bold-Font,94.70%,32,garaldes,True,False
Bembo-Bold-Font,94.70%,34,garaldes,True,False
DeRoos,96.88%,10,garaldes,True,False
DeRoos,97.82%,12,garaldes,True,False
DeRoos,97.20%,14,garaldes,True,False
DeRoos,96.88%,16,garaldes,True,False
DeRoos,96.88%,18,garaldes,True,False
DeRoos,96.57%,20,garaldes,True,False
DeRoos,91.59%,22,garaldes,True,False
DeRoos,96.88%,24,garaldes,True,False
DeRoos,95.64%,26,garaldes,True,False
DeRoos,95.64%,28,garaldes,True,False
DeRoos,96.26%,30,garaldes,True,False
DeRoos,93.15%,32,garaldes,True,False
DeRoos,95.95%,34,garaldes,True,False
Garamond Regular,97.51%,10,garaldes,True,False
Garamond Regular,97.20%,12,garaldes,True,False
Garamond Regular,97.20%,14,garaldes,True,False
Garamond Regular,96.88%,16,garaldes,True,False
Garamond Regular,96.57%,18,garaldes,True,False
Garamond Regular,96.57%,20,garaldes,True,False
Garamond Regular,96.26%,22,garaldes,True,False
Garamond Regular,96.88%,24,garaldes,True,False
Garamond Regular,95.95%,26,garaldes,True,False
Garamond Regular,96.26%,28,garaldes,True,False
Garamond Regular,95.95%,30,garaldes,True,False
Garamond Regular,91.59%,32,garaldes,True,False
Garamond Regular,95.95%,34,garaldes,True,False
grandjean,17.45%,10,garaldes,True,False
grandjean,16.82%,12,garaldes,True,False
grandjean,15.89%,14,garaldes,True,False
grandjean,14.95%,16,garaldes,True,False
grandjean,15.26%,18,garaldes,True,False
grandjean,11.84%,20,garaldes,True,False
grandjean,15.89%,22,garaldes,True,False
grandjean,15.26%,24,garaldes,True,False
grandjean,14.95%,26,garaldes,True,False
grandjean,11.84%,28,garaldes,True,False
grandjean,15.26%,30,garaldes,True,False
grandjean,15.58%,32,garaldes,True,False
grandjean,14.02%,34,garaldes,True,False
vendomeregular,97.20%,10,garaldes,True,False
vendomeregular,97.20%,12,garaldes,True,False
vendomeregular,97.51%,14,garaldes,True,False
vendomeregular,97.20%,16,garaldes,True,False
vendomeregular,96.57%,18,garaldes,True,False
vendomeregular,96.26%,20,garaldes,True,False
vendomeregular,95.95%,22,garaldes,True,False
vendomeregular,95.95%,24,garaldes,True,False
vendomeregular,96.26%,26,garaldes,True,False
vendomeregular,95.95%,28,garaldes,True,False
vendomeregular,95.95%,30,garaldes,True,False
vendomeregular,96.26%,32,garaldes,True,False
vendomeregular,94.70%,34,garaldes,True,False
DeRoos,93.77%,10,garaldes,False,False
DeRoos,97.82%,12,garaldes,False,False
DeRoos,97.20%,14,garaldes,False,False
DeRoos,95.02%,16,garaldes,False,False
DeRoos,96.88%,18,garaldes,False,False
DeRoos,96.57%,20,garaldes,False,False
DeRoos,96.26%,22,garaldes,False,False
DeRoos,96.88%,24,garaldes,False,False
DeRoos,95.95%,26,garaldes,False,False
DeRoos,95.95%,28,garaldes,False,False
DeRoos,96.26%,30,garaldes,False,False
DeRoos,96.26%,32,garaldes,False,False
DeRoos,95.95%,34,garaldes,False,False
Garamond Regular,97.51%,10,garaldes,False,False
Garamond Regular,97.20%,12,garaldes,False,False
Garamond Regular,97.20%,14,garaldes,False,False
Garamond Regular,96.88%,16,garaldes,False,False
Garamond Regular,96.57%,18,garaldes,False,False
Garamond Regular,96.26%,20,garaldes,False,False
Garamond Regular,96.26%,22,garaldes,False,False
Garamond Regular,96.88%,24,garaldes,False,False
Garamond Regular,95.64%,26,garaldes,False,False
Garamond Regular,96.26%,28,garaldes,False,False
Garamond Regular,96.26%,30,garaldes,False,False
Garamond Regular,95.95%,32,garaldes,False,False
Garamond Regular,95.95%,34,garaldes,False,False
grandjean,17.13%,10,garaldes,False,False
grandjean,15.26%,12,garaldes,False,False
grandjean,15.89%,14,garaldes,False,False
grandjean,13.40%,16,garaldes,False,False
grandjean,15.58%,18,garaldes,False,False
grandjean,10.28%,20,garaldes,False,False
grandjean,15.89%,22,garaldes,False,False
grandjean,14.64%,24,garaldes,False,False
grandjean,14.64%,26,garaldes,False,False
grandjean,13.08%,28,garaldes,False,False
grandjean,15.58%,30,garaldes,False,False
grandjean,15.89%,32,garaldes,False,False
grandjean,14.02%,34,garaldes,False,False
vendomeregular,97.20%,10,garaldes,False,False
vendomeregular,97.20%,12,garaldes,False,False
vendomeregular,97.51%,14,garaldes,False,False
vendomeregular,97.20%,16,garaldes,False,False
vendomeregular,96.57%,18,garaldes,False,False
vendomeregular,96.26%,20,garaldes,False,False
vendomeregular,95.95%,22,garaldes,False,False
vendomeregular,95.95%,24,garaldes,False,False
vendomeregular,96.26%,26,garaldes,False,False
vendomeregular,95.95%,28,garaldes,False,False
vendomeregular,95.95%,30,garaldes,False,False
vendomeregular,96.26%,32,garaldes,False,False
vendomeregular,94.70%,34,garaldes,False,False
AshleyScriptMTStdRg,97.51%,10,humanistic,True,False
AshleyScriptMTStdRg,97.51%,12,humanistic,True,False
AshleyScriptMTStdRg,97.20%,14,humanistic,True,False
AshleyScriptMTStdRg,97.20%,16,humanistic,True,False
AshleyScriptMTStdRg,96.88%,18,humanistic,True,False
AshleyScriptMTStdRg,96.88%,20,humanistic,True,False
AshleyScriptMTStdRg,95.95%,22,humanistic,True,False
AshleyScriptMTStdRg,96.26%,24,humanistic,True,False
AshleyScriptMTStdRg,96.26%,26,humanistic,True,False
AshleyScriptMTStdRg,95.95%,28,humanistic,True,False
AshleyScriptMTStdRg,95.95%,30,humanistic,True,False
AshleyScriptMTStdRg,95.33%,32,humanistic,True,False
AshleyScriptMTStdRg,95.33%,34,humanistic,True,False
Centaur-Regular,97.51%,10,humanistic,True,False
Centaur-Regular,97.82%,12,humanistic,True,False
Centaur-Regular,97.20%,14,humanistic,True,False
Centaur-Regular,92.21%,16,humanistic,True,False
Centaur-Regular,94.39%,18,humanistic,True,False
Centaur-Regular,96.57%,20,humanistic,True,False
Centaur-Regular,89.10%,22,humanistic,True,False
Centaur-Regular,96.26%,24,humanistic,True,False
Centaur-Regular,92.52%,26,humanistic,True,False
Centaur-Regular,90.03%,28,humanistic,True,False
Centaur-Regular,96.57%,30,humanistic,True,False
Centaur-Regular,95.64%,32,humanistic,True,False
Centaur-Regular,95.64%,34,humanistic,True,False
DeRoos,96.88%,10,humanistic,True,False
DeRoos,97.82%,12,humanistic,True,False
DeRoos,97.20%,14,humanistic,True,False
DeRoos,96.88%,16,humanistic,True,False
DeRoos,96.88%,18,humanistic,True,False
DeRoos,96.57%,20,humanistic,True,False
DeRoos,91.59%,22,humanistic,True,False
